|--------------------------------------|
| deterministic MDP                    |
|--------------------------------------|
| Num States | Cores | Time (s)        |
| 10000      | 10    | 19.6038         |
| 12100      | 10    | 57.5531         |
| 14400      | 10    | 208.3178        |
| 16900      | 10    | 299.4157        |
| 400        | 11    | 0.9368          |
| 900        | 11    | 0.5438          |
| 1600       | 11    | 0.9860          |
| 2500       | 11    | 1.6367          |
| 3600       | 11    | 2.9264          |
| 4900       | 11    | 5.2737          |
| 6400       | 11    | 8.0440          |
| 8100       | 11    | 12.4997         |
| 10000      | 11    | 23.8034         |
| 12100      | 11    | 88.5287         |
| 14400      | 11    | 210.3776        |
| 16900      | 11    | 299.9532        |
| 400        | 12    | 0.9417          |
| 900        | 12    | 0.4765          |
| 1600       | 12    | 0.7013          |
| 2500       | 12    | 1.5280          |
| 3600       | 12    | 2.7774          |
| 4900       | 12    | 4.7057          |
| 6400       | 12    | 8.0134          |
| 8100       | 12    | 12.9625         |
| 10000      | 12    | 34.6305         |
| 12100      | 12    | 145.8532        |
| 14400      | 12    | 206.8158        |
| 16900      | 12    | 300.1039        |
|--------------------------------------|
